Sample_Name,BioSample,BioProject,Other_Name,Other_ID,Dataset,City/Location,Country,Continent,Location_Descriptor,Material,Latitude,Longitude,Lat-Long,Depth [IN M],Date_Collected,cb-broad-desc,cb-narrow-desc,cb-material-type,sra:env_broad_scale,sra:env_local_scale,sra:env_medium
SRR28911452,PRJNA732392,SAMN41164735,haib17DB4959_H3MGVCCXY_SL259930,,metasub,,USA,North America,,,,,37.783558 N 122.392488 W,,6/22/17,built environment,subway,surface,,,
SRR28911615,PRJNA732392,SAMN41164864,haib17DB4959_H3MGVCCXY_SL259931,,metasub,,Colombia,South America,,,,,4.6311528 N 74.1468538 W,,6/21/17,built environment,subway,surface,,,
SRR28910872,PRJNA732392,SAMN41164893,haib17DB4959_H3MGVCCXY_SL259932,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910983,PRJNA732392,SAMN41164533,haib17DB4959_H3MGVCCXY_SL259933,,metasub,,Japan,Asia,,,,,33.609962 N 130.419844 E,,6/21/17,built environment,subway,surface,,,
SRR28911612,PRJNA732392,SAMN41164453,haib17DB4959_H3MGVCCXY_SL259934,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911509,PRJNA732392,SAMN41165284,haib17DB4959_H3MGVCCXY_SL259935,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910808,PRJNA732392,SAMN41165145,haib17DB4959_H3MGVCCXY_SL259936,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911373,PRJNA732392,SAMN41165001,haib17DB4959_H3MGVCCXY_SL259937,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910938,PRJNA732392,SAMN41164704,haib17DB4959_H3MGVCCXY_SL259938,,metasub,,USA,North America,,,,,39.847573 N 104.673867 W,,6/22/17,built environment,subway,surface,,,
SRR28911463,PRJNA732392,SAMN41164725,haib17DB4959_H3MGVCCXY_SL259939,,metasub,,Taiwan,Asia,,,,,25.046368 N 121.517407 E,,6/29/17,built environment,subway,surface,,,
